Data,Organisation unit,Value
oLMIhDxyDdI,dNLjKwsVjod,3521.0
uTU4zCB25ti,dNLjKwsVjod,192554.0
lAG3wQPDtBx,dNLjKwsVjod,209253.0
HrnxboYS2pX,dNLjKwsVjod,73958.0
vZhW1lZlJbJ,dNLjKwsVjod,14952.0
ux5hjOaieWd,dNLjKwsVjod,69863.0
oBRiOKXWX0t,dNLjKwsVjod,56785.0
m8HgPVCalQa,dNLjKwsVjod,728957.0
ldL9DxovaGZ,dNLjKwsVjod,779228.0
mG4lyntANUW,dNLjKwsVjod,6529.0
edyPqwHl8xs,dNLjKwsVjod,468142.0
TBkdRxrRn6m,dNLjKwsVjod,443952.0
gxnpwZzuGdT,dNLjKwsVjod,2932.0
dG01gFyUUpJ,dNLjKwsVjod,3074.0
k4gDhfOM6U1,dNLjKwsVjod,5676.0
Rf6YaoD9pDU,dNLjKwsVjod,3888.0
YQeVCHIodxu,dNLjKwsVjod,1829.0
Mdg4YwkZA3q,dNLjKwsVjod,654317.0
Mj0dHA7IfiD,dNLjKwsVjod,52229.0
KBWEDXf1bhU,dNLjKwsVjod,392265.0
cJFpYp57f3g,dNLjKwsVjod,152362.0
WUiLXAWnm9n,dNLjKwsVjod,59540.0
Uh7k0aWkeAV,dNLjKwsVjod,94119.0
WGBL50m9U8y,dNLjKwsVjod,2749.0
h0i5ShDuD8r,dNLjKwsVjod,18402.0
Zxn1hY7kmiY,dNLjKwsVjod,6089.0
HScaB3f35Z1,dNLjKwsVjod,30.0
npKx146IC4n,dNLjKwsVjod,141314.0
DDmuj1o7sKy,dNLjKwsVjod,22178.0
reSF7Y9zouf,dNLjKwsVjod,693.0
VxiFmwdJ2jf,dNLjKwsVjod,43333.0
pBUIU82QLXK,dNLjKwsVjod,148.0
PxMpuBloSvM,dNLjKwsVjod,26185.0
yl4jyQzjjY4,dNLjKwsVjod,1810.0
dKGmDv4ECXm,dNLjKwsVjod,7436.0
TUaZt44MekA,dNLjKwsVjod,325324.0
bqOKG6cJ9HC,dNLjKwsVjod,407551.0
yTWRW7tqvCr,dNLjKwsVjod,26645.0
nHz5prD5MmK,dNLjKwsVjod,18851.0
hk3eorYt6l9,dNLjKwsVjod,8395.0
nbuIpWI5Q8d,dNLjKwsVjod,429407.0
Xca8sSvZIED,dNLjKwsVjod,3143.0
WpW4kIFC9C3,dNLjKwsVjod,46612.0
Pb1E9Ko3OwQ,dNLjKwsVjod,14128.0
UxIv7uHnTif,dNLjKwsVjod,32379.0
WLI1ZI7rmpW,dNLjKwsVjod,659463.0
vat7tr4Mb5Z,dNLjKwsVjod,16653.0
fXqUKhyfJHA,dNLjKwsVjod,9.0
WebekThVMuW,dNLjKwsVjod,2448220.0
uMgEsjd1HCN,dNLjKwsVjod,575820.0
DWF6hmJga6Q,dNLjKwsVjod,1222.0
THeGZih2HUE,dNLjKwsVjod,1152.0
h61pZEsgvaD,dNLjKwsVjod,189.0
ZGi2mdScAOV,dNLjKwsVjod,835742.0
poYsKiXiMsN,dNLjKwsVjod,49910.0
zEU0eGGX6tu,dNLjKwsVjod,34760.0
plQNV0jdrl2,dNLjKwsVjod,1259591.0
Epd0OyfDJSA,dNLjKwsVjod,125176.0
bDyr5KW2qCi,dNLjKwsVjod,201.0
